Suburb,State,Postcode
CHRISTMAS ISLAND,,6798
HOME ISLAND,,6799
JERVIS BAY,,2540
NORFOLK ISLAND,,2899
WEST ISLAND,,6799
ACT REMAINDER - BELCONNEN,ACT,2601
ACT REMAINDER - BOOTH,ACT,2620
ACT REMAINDER - COREE,ACT,2611
ACT REMAINDER - COTTER RIVER,ACT,2611
ACT REMAINDER - GUNGAHLIN,ACT,2912
ACT REMAINDER - HALL,ACT,2618
ACT REMAINDER - JERRABOMBERRA,ACT,2600
ACT REMAINDER - KOWEN,ACT,2620
ACT REMAINDER - MAJURA,ACT,2609
ACT REMAINDER - MOLONGLO VALLEY,ACT,2601
ACT REMAINDER - PADDYS RIVER,ACT,2620
ACT REMAINDER - RENDEZVOUS CREEK,ACT,2620
ACT REMAINDER - STROMLO,ACT,2611
ACT REMAINDER - TUGGERANONG,ACT,2900
ACT REMAINDER - WESTON CREEK,ACT,2611
ACTON,ACT,2601
AINSLIE,ACT,2602
AMAROO,ACT,2914
ARANDA,ACT,2614
BANKS,ACT,2906
BARTON,ACT,2600
BEARD,ACT,2620
BELCONNEN,ACT,2617
BONNER,ACT,2914
BONYTHON,ACT,2905
BRADDON,ACT,2612
BRUCE,ACT,2617
CALWELL,ACT,2905
CAMPBELL,ACT,2612
CANBERRA AIRPORT,ACT,2609
CAPITAL HILL,ACT,2600
CASEY,ACT,2913
CHAPMAN,ACT,2611
CHARNWOOD,ACT,2615
CHIFLEY,ACT,2606
CHISHOLM,ACT,2905
CITY,ACT,2601
CONDER,ACT,2906
COOK,ACT,2614
COOMBS,ACT,2611
CRACE,ACT,2911
CURTIN,ACT,2605
DEAKIN,ACT,2600
DENMAN PROSPECT,ACT,2611
DICKSON,ACT,2602
DOWNER,ACT,2602
DUFFY,ACT,2611
DUNLOP,ACT,2615
EVATT,ACT,2617
FADDEN,ACT,2904
FARRER,ACT,2607
FISHER,ACT,2611
FLOREY,ACT,2615
FLYNN,ACT,2615
FORDE,ACT,2914
FORREST,ACT,2603
FRANKLIN,ACT,2913
FRASER,ACT,2615
FYSHWICK,ACT,2609
GARRAN,ACT,2605
GILMORE,ACT,2905
GIRALANG,ACT,2617
GORDON,ACT,2906
GOWRIE,ACT,2904
GREENWAY,ACT,2900
GRIFFITH,ACT,2603
GUNGAHLIN,ACT,2912
HACKETT,ACT,2602
HALL,ACT,2618
HARRISON,ACT,2914
HAWKER,ACT,2614
HIGGINS,ACT,2615
HOLDER,ACT,2611
HOLT,ACT,2615
HUGHES,ACT,2605
HUME,ACT,2620
ISAACS,ACT,2607
ISABELLA PLAINS,ACT,2905
JACKA,ACT,2914
KALEEN,ACT,2617
KAMBAH,ACT,2902
KINGSTON,ACT,2604
LATHAM,ACT,2615
LAWSON,ACT,2617
LYNEHAM,ACT,2602
LYONS,ACT,2606
MACARTHUR,ACT,2904
MACGREGOR,ACT,2615
MACQUARIE,ACT,2614
MAWSON,ACT,2607
MCKELLAR,ACT,2617
MELBA,ACT,2615
MITCHELL,ACT,2911
MOLONGLO,ACT,2617
MONASH,ACT,2904
MONCRIEFF,ACT,2914
NARRABUNDAH,ACT,2604
NGUNNAWAL,ACT,2913
NICHOLLS,ACT,2913
O'CONNOR,ACT,2602
O'MALLEY,ACT,2606
OAKS ESTATE,ACT,2620
OXLEY,ACT,2903
PAGE,ACT,2614
PALMERSTON,ACT,2913
PARKES,ACT,2600
PEARCE,ACT,2607
PHILLIP,ACT,2606
PIALLIGO,ACT,2609
RED HILL,ACT,2603
REID,ACT,2612
RICHARDSON,ACT,2905
RIVETT,ACT,2611
RUSSELL,ACT,2600
SCULLIN,ACT,2614
SPENCE,ACT,2615
STIRLING,ACT,2611
SYMONSTON,ACT,2609
THARWA,ACT,2620
THEODORE,ACT,2905
THROSBY,ACT,2914
TORRENS,ACT,2607
TURNER,ACT,2612
URIARRA VILLAGE,ACT,2611
WANNIASSA,ACT,2903
WARAMANGA,ACT,2611
WATSON,ACT,2602
WEETANGERA,ACT,2614
WESTON,ACT,2611
WRIGHT,ACT,2611
YARRALUMLA,ACT,2600
AARONS PASS,NSW,2850
ABBOTSBURY,NSW,2176
ABBOTSFORD,NSW,2046
ABERCROMBIE,NSW,2795
ABERCROMBIE RIVER,NSW,2795
ABERDARE,NSW,2325
ABERDEEN,NSW,2336
ABERFOYLE,NSW,2350
ABERGLASSLYN,NSW,2320
ABERMAIN,NSW,2326
ABERNETHY,NSW,2325
ABINGTON,NSW,2350
ACACIA CREEK,NSW,2476
ACACIA GARDENS,NSW,2763
ADAMINABY,NSW,2629
ADAMSTOWN,NSW,2289
ADAMSTOWN HEIGHTS,NSW,2289
ADELONG,NSW,2729
ADJUNGBILLY,NSW,2727
AFTERLEE,NSW,2474
AGNES BANKS,NSW,2753
AIRDS,NSW,2560
AKOLELE,NSW,2546
ALBERT,NSW,2873
ALBION PARK,NSW,2527
ALBION PARK RAIL,NSW,2527
ALBURY,NSW,2640
ALDAVILLA,NSW,2440
ALECTOWN,NSW,2870
ALEXANDRIA,NSW,2015
ALFORDS POINT,NSW,2234
ALFREDTOWN,NSW,2650
ALICE,NSW,2469
ALISON,NSW,2420
ALISON,NSW,2259
ALLAMBIE HEIGHTS,NSW,2100
ALLANDALE,NSW,2320
ALLAWAH,NSW,2218
ALLEENA,NSW,2671
ALLGOMERA,NSW,2441
ALLWORTH,NSW,2425
ALLYNBROOK,NSW,2311
ALMA PARK,NSW,2659
ALPINE,NSW,2575
ALSTONVALE,NSW,2477
ALSTONVILLE,NSW,2477
ALUMY CREEK,NSW,2460
AMAROO,NSW,2866
AMBARVALE,NSW,2560
AMOSFIELD,NSW,4380
ANABRANCH NORTH,NSW,2648
ANABRANCH SOUTH,NSW,2648
ANAMBAH,NSW,2320
ANDO,NSW,2631
ANEMBO,NSW,2621
ANGLEDALE,NSW,2550
ANGLEDOOL,NSW,2834
ANGLERS REACH,NSW,2629
ANGOURIE,NSW,2464
ANNA BAY,NSW,2316
ANNANDALE,NSW,2038
ANNANGROVE,NSW,2156
APPIN,NSW,2560
APPLE TREE FLAT,NSW,2850
APPLEBY,NSW,2340
APPLETREE FLAT,NSW,2330
APSLEY,NSW,2820
ARABLE,NSW,2630
ARAKOON,NSW,2431
ARALUEN,NSW,2622
ARATULA,NSW,2714
ARCADIA,NSW,2159
ARCADIA VALE,NSW,2283
ARDGLEN,NSW,2338
ARDING,NSW,2358
ARDLETHAN,NSW,2665
ARGALONG,NSW,2720
ARGENTON,NSW,2284
ARGENTS HILL,NSW,2449
ARGOON,NSW,2707
ARIAH PARK,NSW,2665
ARKELL,NSW,2795
ARKSTONE,NSW,2795
ARMATREE,NSW,2828
ARMIDALE,NSW,2350
ARNCLIFFE,NSW,2205
ARNDELL PARK,NSW,2148
ARRAWARRA,NSW,2456
ARRAWARRA HEADLAND,NSW,2456
ARTARMON,NSW,2064
ARTHURVILLE,NSW,2820
ARUMPO,NSW,2715
ASHBURY,NSW,2193
ASHBY,NSW,2463
ASHBY HEIGHTS,NSW,2463
ASHBY ISLAND,NSW,2463
ASHCROFT,NSW,2168
ASHFIELD,NSW,2131
ASHFORD,NSW,2361
ASHLEY,NSW,2400
ASHMONT,NSW,2650
ASHTONFIELD,NSW,2323
ASQUITH,NSW,2077
ATHOLWOOD,NSW,2361
ATTUNGA,NSW,2345
AUBURN,NSW,2144
AUBURN VALE,NSW,2360
AUSTINMER,NSW,2515
AUSTRAL,NSW,2179
AUSTRAL EDEN,NSW,2440
AVALON BEACH,NSW,2107
AVISFORD,NSW,2850
AVOCA,NSW,2577
AVOCA BEACH,NSW,2251
AVON,NSW,2574
AVONDALE,NSW,2530
AVONSIDE,NSW,2628
AWABA,NSW,2283
AYLMERTON,NSW,2575
BAAN BAA,NSW,2390
BABINDA,NSW,2825
BABYL CREEK,NSW,2470
BACK CREEK,NSW,2671
BACK CREEK,NSW,2422
BACK CREEK,NSW,2390
BACK CREEK,NSW,2622
BACK CREEK,NSW,2372
BACK CREEK,NSW,2484
BACK FOREST,NSW,2535
BACKMEDE,NSW,2470
BACKWATER,NSW,2365
BADGERYS CREEK,NSW,2555
BADJA,NSW,2630
BAERAMI,NSW,2333
BAERAMI CREEK,NSW,2333
BAGNOO,NSW,2446
BAGO,NSW,2446
BAGOTVILLE,NSW,2477
BAKERS CREEK,NSW,2422
BAKERS CREEK,NSW,2447
BAKERS CREEK,NSW,2359
BAKERS SWAMP,NSW,2820
BALACLAVA,NSW,2575
BALALA,NSW,2358
BALCOLYN,NSW,2264
BALD BLAIR,NSW,2365
BALD HILLS,NSW,2549
BALD NOB,NSW,2370
BALD RIDGE,NSW,2795
BALDERSLEIGH,NSW,2365
BALDRY,NSW,2867
BALFOURS PEAK,NSW,2403
BALGOWLAH,NSW,2093
BALGOWLAH HEIGHTS,NSW,2093
BALGOWNIE,NSW,2519
BALICKERA,NSW,2324
BALLADORAN,NSW,2822
BALLALABA,NSW,2622
BALLDALE,NSW,2646
BALLENGARRA,NSW,2441
BALLIMORE,NSW,2830
BALLINA,NSW,2478
BALLYROE,NSW,2795
BALMAIN,NSW,2041
BALMAIN EAST,NSW,2041
BALMORAL,NSW,2283
BALMORAL,NSW,2571
BALRANALD,NSW,2715
BAMARANG,NSW,2540
BANDA BANDA,NSW,2446
BANDON GROVE,NSW,2420
BANGADANG,NSW,2729
BANGALEE,NSW,2541
BANGALOW,NSW,2479
BANGHEET,NSW,2404
BANGO,NSW,2582
BANGOR,NSW,2234
BANKSIA,NSW,2216
BANKSMEADOW,NSW,2019
BANKSTOWN,NSW,2200
BANKSTOWN AERODROME,NSW,2200
BANNABY,NSW,2580
BANNISTER,NSW,2580
BANOON,NSW,2347
BANORA POINT,NSW,2486
BANYABBA,NSW,2460
BAR BEACH,NSW,2300
BAR POINT,NSW,2083
BARA,NSW,2850
BARADINE,NSW,2396
